time,bpm,hrv,fs,peaks,stress,file
2026-05-25 05:51:27,83.15930612586945,392.0563422898432,149,223.0,,
2026-05-25 05:53:23,53.36237826755511,241.91691769228063,359,59.0,,
2026-05-25 05:53:27,71.3347022587269,396.7805907067759,193,148.0,,
2026-05-25 05:53:30,69.47368421052632,314.2604481477963,484,57.0,,
2026-05-25 06:13:54,109.81425702811246,202.74960078976275,250,,0.4907985076406806,
2026-05-25 06:14:34,117.5410660408984,191.32312269005257,187,,0.5199582795936594,
2026-05-25 06:24:16,109.81425702811246,202.74960078976275,250,,0.4907985076406806,
2026-05-25 06:24:21,117.54104524376493,190.9554843799749,319,,0.5209541176851739,
2026-05-25 13:06:12,117.5635026737968,182.0045741300222,335,,0.5464344291687014,
2026-05-25 13:20:43,94.52732113426023,169.08172317965756,466,,0.5879526508228627,PPG_Excesive_Peaks.txt
2026-05-25 15:20:34,94.15013808686922,186.91506520342332,250,,0.5321553111867171,PPG_Excesive_Peaks.txt
2026-05-25 15:20:38,89.49579831932775,208.1077498520953,250,,0.47822235221186843,PPG_Noise.txt
